time,market,target_price,buy_amount,buy_units,buy_type,buy_uuid,filled
2025-08-19 09:50:14,XRPUSDT,3.064,400.0,0,initial,116991206394,done
2025-08-19 09:50:14,DOGEUSDT,0.22411,400.0,0,initial,79900388110,done
2025-08-19 13:08:57,DOGEUSDT,0.2151456,800.0,1,small_flow,79910889870,done
2025-08-19 23:41:46,XRPUSDT,2.94144,800.0,1,small_flow,117081429425,done
2025-08-20 23:09:05,XRPUSDT,2.8237824,800.0,1,small_flow,117244015983,done
2025-08-21 02:45:28,ETHUSDT,4356.75,400.0,0,initial,8389765941899937789,done
2025-08-21 02:45:42,SUIUSDT,3.5714,400.0,0,initial,30957115987,done
2025-08-21 04:58:11,ADAUSDT,0.892,400.0,0,initial,57286395130,done
2025-08-21 10:57:33,BNBUSDT,883.79,400.0,0,initial,74551111124,done
2025-08-21 11:01:01,SOLUSDT,189.84,400.0,0,initial,138077573797,done
2025-08-21 14:53:20,TRXUSDT,0.35732,400.0,0,initial,15923134893,done
